id,aptitude,numBalls,pattern,difficulty,name
47,0,3,"74202,0,0,0,0,8,0",29,D
48,0,3,"74202,1,1,0,0,8,0",29,C
49,0,3,"75300,0,0,0,0,8,0",31,T
50,0,3,"75300,1,1,0,0,8,0",31,M
51,0,3,"9750000,0,0,0,0,7,360",37,U
52,0,3,"9750000,1,1,0,0,7,360",37,O
53,0,3,"4515501,0,0,0,0,8,0",27,Q
54,0,3,"4515501,1,1,0,0,8,0",27,R
55,0,3,"4516131,0,0,0,0,8,0",27,A
56,0,3,"4516131,1,1,0,0,8,0",27,B
57,0,4,"53,1,0,1,-1,9,0",27,B
58,0,4,"71,1,0,1,-1,7,0",32,C
59,0,4,"7333,0,0,0,0,8,0",33,D
60,0,4,"7333,1,1,0,0,8,0",33,H
61,0,4,"633,0,0,0,0,8,0",31,F
62,0,4,"8080808080808080808080807070707,0,0,0,0,7,0",60,R
63,0,4,"808080807070707,1,1,0,0,7,0",59,Q
64,0,4,"9151,1,0,1,-1,7,0",42,L
65,0,4,"741,0,0,0,0,8,0",35,E
66,0,4,"7531,0,0,0,0,8,0",45,M
67,0,4,"56630,1,1,0,0,8,0",32,G
68,0,4,"57512,1,1,0,0,8,0",40,J
69,0,4,"66251,0,0,0,0,8,0",37,I
70,0,4,"58530853085308530853034,1,1,0,0,8,0",41,K
71,0,4,"44444444999900000,0,0,0,0,7,360",51,O
72,0,4,"44444444555507777000999900000,0,0,0,0,7,720",55,P
73,0,5,"55555bbbbb0000005555555555,0,0,0,0,6,720",74,W
74,0,5,"555559999900005555555555,0,0,0,0,7,360",69,U
75,0,5,"5,1,1,0,0,8,0",41,B
76,0,3,"3334560606060603033333333,1,1,0,0,9,0",41,Q
77,0,4,"44445678080808080805050444444,1,1,0,0,8,0",61,S
78,0,4,"b17131,1,0,1,-1,6,0",48,N
79,0,5,"663,0,0,0,0,8,0",48,F
80,0,5,"91,1,0,1,-1,6,0",54,J
81,0,5,"744,0,0,0,0,8,0",50,Q
82,0,5,"744,1,1,0,0,8,0",50,R
83,0,5,"753,0,0,0,0,8,0",51,G
84,0,5,"753,1,1,0,0,8,0",51,H
85,0,5,"73,0,0,0,0,8,0",47,D
86,0,5,"73,1,1,0,0,8,0",47,E
87,0,5,"73,1,0,1,-1,8,0",45,C
88,0,5,"852,0,0,0,0,8,0",57,K
89,0,5,"861,1,1,0,0,8,0",57,L
90,0,5,"771,1,1,0,0,8,0",51,I
91,0,5,"960,0,0,0,0,7,0",60,M
92,0,5,"97531,0,0,0,0,7,0",65,N
93,0,5,"97531,1,1,0,0,7,0",65,O
94,0,5,"123456789,0,0,0,0,7,0",66,P
95,0,5,"55555bbbbb0000005555555555,1,1,0,0,6,720",75,X
96,0,5,"555559999900005555555555,1,1,0,0,7,360",70,V
97,0,5,"555557777700999990000bbbbb00000055555,0,0,0,0,6,720",77,Y
98,0,5,"555557777700999990000bbbbb00000055555,1,1,0,0,6,720",78,Z
99,0,5,"55555944445,0,0,0,0,7,0",50,S
100,0,5,"55555944445,1,1,0,0,7,0",50,T
101,0,6,"75,1,0,1,-1,7,0",55,B
102,0,6,"75,0,0,0,0,8,0",55,F
103,0,6,"864,0,0,0,0,8,0",67,J
104,0,6,"864,1,1,0,0,7,0",67,H
105,0,6,"a26,0,0,0,0,6,0",71,E
106,0,6,"a26,1,1,0,0,6,0",71,K
107,0,6,"a71,0,0,0,0,6,0",76,M
108,0,6,"a17,1,1,0,0,6,0",76,I
109,0,6,"9555,1,1,0,0,7,0",62,D
110,0,6,"b1,1,0,1,-1,6,0",60,G
111,0,6,"b97531,0,0,0,0,6,0",82,L
112,0,6,"b97531,1,1,0,0,6,0",83,N
113,0,7,"7,1,1,0,0,7,0",72,B
114,0,9,"9,1,1,0,0,6,0",100,B
116,0,6,"93,1,0,1,-1,7,0",56,C
117,0,7,"95,1,0,1,-1,6,0",74,E
119,0,7,"975,0,0,0,0,7,0",80,F
120,0,7,"975,1,1,0,0,7,0",80,D
121,0,7,"b9753,0,0,0,0,6,0",88,N
122,0,7,"b9753,1,1,0,0,6,0",88,K
123,0,7,"a74,0,0,0,0,6,0",81,L
124,0,7,"b3,1,0,1,-1,6,0",76,C
125,0,7,"7777777bbbbbbb00007777777,0,0,0,0,6,360",94,O
126,0,7,"7777777bbbbbbb00007777777,1,1,0,0,6,360",95,P
127,0,7,"b91,0,0,0,0,6,0",80,G
128,0,7,"ab0,1,1,0,0,6,0",80,H
129,0,7,"b6666,0,0,0,0,6,0",85,I
130,0,7,"b6666,1,1,0,0,6,0",85,J
131,0,7,"a8647777777,1,1,0,0,6,0",92,M
133,0,8,"b5,1,0,1,-1,6,0",87,I
134,0,8,"a86,0,0,0,0,6,0",90,B
135,0,8,"a86,1,1,0,0,6,0",90,D
136,0,8,"b85,0,0,0,0,6,0",90,H
137,0,8,"b975,0,0,0,0,6,0",95,C
138,0,8,"b975,1,1,0,0,6,0",95,G
139,0,8,"88888888b9758,0,0,0,0,6,0",100,E
140,0,8,"88888888b9758,1,1,0,0,6,0",100,F
